Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128620,,2445054.3,-6.15E-13,3.27E-13,3.98E-12,-1.66E-12,2.83E-13,6.31E-12,3.65E-12,4.76E-13,5.00E-12,1.81E-12,6.02E-13,9.57E-12
HD 128620,,2445064.5,-1.14E-12,3.37E-13,4.42E-12,-1.55E-12,3.20E-13,6.94E-12,3.27E-12,3.92E-13,3.75E-12,2.94E-12,6.16E-13,8.66E-12
HD 128620,,2445067.5,-1.86E-12,2.83E-13,4.30E-12,-2.31E-12,3.23E-13,7.63E-12,3.16E-12,5.00E-13,5.89E-12,3.73E-12,6.68E-13,8.90E-12
HD 128620,,2445076.4,8.93E-14,3.47E-13,3.50E-12,-6.17E-13,2.67E-13,4.97E-12,3.05E-12,4.35E-13,4.75E-12,2.69E-12,6.25E-13,9.10E-12
HD 128620,,2445079.6,-1.80E-13,3.01E-13,3.51E-12,-1.14E-12,2.76E-13,5.77E-12,3.59E-12,4.18E-13,3.97E-12,2.71E-12,5.65E-13,7.95E-12
HD 128620,,2445097.3,-9.26E-13,3.42E-13,4.10E-12,-2.81E-13,3.57E-13,6.19E-12,3.45E-12,4.60E-13,4.66E-12,2.22E-12,5.98E-13,8.83E-12
HD 128621,,2445097.4,2.16E-12,3.41E-13,1.12E-12,-4.11E-13,6.91E-14,7.47E-13,1.09E-12,1.25E-13,4.72E-13,-8.96E-13,8.08E-14,1.72E-12
HD128620,,2445099,-1.54E-12,3.17E-13,4.35E-12,-1.46E-12,2.69E-13,5.86E-12,3.34E-12,4.07E-13,3.98E-12,2.26E-12,5.76E-13,8.57E-12
HD 128620,,2445103.4,-8.17E-13,3.13E-13,3.75E-12,-2.89E-13,3.05E-13,5.35E-12,2.17E-12,3.73E-13,4.40E-12,3.43E-12,5.69E-13,7.22E-12
HD 128620,,2445109.4,1.68E-13,3.45E-13,3.01E-12,-1.64E-12,2.73E-13,6.03E-12,3.30E-12,3.75E-13,3.29E-12,1.65E-12,5.16E-13,7.93E-12
HD 128621,,2445109.4,-2.87E-13,3.70E-13,4.08E-13,-2.51E-13,5.01E-14,5.00E-13,1.27E-12,9.31E-14,-6.02E-14,1.18E-12,1.05E-13,4.30E-13
HD 128620,,2445110.5,9.03E-13,3.67E-13,3.13E-12,-1.17E-12,3.36E-13,6.85E-12,3.23E-12,4.32E-13,4.59E-12,3.09E-12,6.32E-13,8.88E-12
HD 128620,,2445113.4,-1.48E-12,3.62E-13,4.15E-12,7.85E-14,2.98E-13,4.92E-12,2.39E-12,3.87E-13,4.44E-12,1.35E-12,5.27E-13,8.51E-12
HD 128621,,2445113.4,7.92E-13,3.90E-13,-1.96E-13,-1.15E-13,4.95E-14,3.47E-13,1.13E-12,9.68E-14,1.18E-13,1.66E-13,7.62E-14,8.82E-13
HD 128620,,2445192.1,-1.29E-12,2.53E-13,3.22E-12,-9.68E-13,2.81E-13,5.58E-12,9.93E-13,3.72E-13,5.49E-12,2.35E-12,5.94E-13,8.79E-12
HD 128620,,2445196.1,-1.27E-12,3.47E-13,4.36E-12,-6.90E-13,3.56E-13,6.62E-12,3.59E-12,4.93E-13,5.27E-12,3.60E-12,6.71E-13,8.98E-12
HD 128621,,2445197.1,-1.41E-12,1.92E-13,1.56E-12,-9.43E-13,3.38E-14,5.90E-13,1.58E-12,1.35E-13,2.39E-13,1.26E-12,6.14E-14,-8.05E-13
HD 128620,,2445197.2,1.87E-13,4.15E-13,3.64E-12,-2.04E-12,3.69E-13,7.92E-12,2.85E-12,5.05E-13,6.00E-12,5.08E-12,7.73E-13,9.33E-12
HD 128620,,2445202.1,-2.03E-13,3.26E-13,2.92E-12,-9.86E-13,4.17E-13,8.17E-12,3.17E-12,4.87E-13,5.64E-12,1.41E-12,6.71E-13,1.12E-11
1950 CORDS,,2445224.1,-7.55E-13,4.04E-13,4.45E-12,6.08E-13,4.89E-13,7.74E-12,2.88E-12,5.08E-13,6.11E-12,1.93E-12,7.65E-13,1.24E-11
HD 128620,,2445411.4,-9.67E-13,1.94E-13,3.28E-12,2.95E-14,2.81E-13,5.02E-12,2.27E-12,3.79E-13,4.78E-12,2.20E-12,5.45E-13,8.26E-12
HD 128620,,2445411.5,-9.92E-13,2.44E-13,3.51E-12,1.47E-12,3.68E-13,5.03E-12,1.99E-12,4.15E-13,5.56E-12,3.02E-12,5.90E-13,8.17E-12
HD 128621,,2445411.5,2.11E-13,1.40E-13,-5.54E-14,9.90E-13,1.11E-13,2.81E-13,8.40E-13,1.53E-13,1.42E-12,1.54E-12,1.70E-13,1.23E-12
HD 128620,,2445411.5,9.25E-14,6.18E-14,-1.94E-13,-8.89E-14,2.90E-14,2.41E-13,-5.87E-14,2.95E-14,2.77E-13,-4.85E-13,-1.09E-14,-5.16E-14
HD 128620,,2445431.3,-5.65E-13,2.08E-13,3.44E-12,-3.75E-13,2.88E-13,5.70E-12,3.47E-12,4.31E-13,4.76E-12,2.60E-12,5.75E-13,8.58E-12
HD 128620,,2445431.3,5.82E-14,2.80E-13,2.66E-12,7.54E-13,3.52E-13,5.33E-12,5.48E-12,5.18E-13,4.07E-12,3.38E-12,6.13E-13,8.22E-12
HD 128621,,2445431.3,6.69E-13,1.89E-13,4.65E-13,6.31E-13,1.04E-13,5.66E-13,1.57E-12,1.59E-13,9.33E-13,6.58E-13,1.14E-13,1.12E-12
HD 128621,,2445431.4,1.82E-13,6.01E-14,5.99E-13,-1.38E-13,3.73E-14,7.82E-13,1.49E-12,1.09E-13,5.57E-13,7.21E-13,8.58E-14,9.20E-13
HD 128620,,2445431.5,-9.97E-13,2.82E-13,3.81E-12,6.54E-13,3.62E-13,5.62E-12,3.48E-12,4.14E-13,4.04E-12,1.86E-12,5.71E-13,8.95E-12
HD 128620,,2445435.4,-2.06E-12,4.12E-13,5.93E-12,-1.54E-12,3.49E-13,7.04E-12,5.01E-12,6.00E-13,5.71E-12,1.48E-12,6.74E-13,1.09E-11
HD 128621,,2445435.5,5.42E-13,1.80E-13,1.87E-14,-1.41E-13,8.91E-14,8.20E-13,7.84E-13,1.26E-13,8.02E-13,1.44E-13,9.56E-14,9.68E-13
HD 128620,,2445435.5,-2.32E-12,3.69E-13,4.97E-12,-1.32E-12,4.10E-13,7.94E-12,2.69E-12,5.50E-13,6.98E-12,3.06E-13,7.18E-13,1.29E-11
HD 128620,,2445435.5,-1.03E-12,2.33E-13,3.88E-12,-2.63E-13,3.09E-13,5.82E-12,2.72E-12,4.08E-13,4.86E-12,1.31E-12,5.28E-13,8.77E-12
HD 128621,,2445435.5,2.62E-13,6.93E-14,6.51E-13,2.43E-14,4.62E-14,7.71E-13,1.33E-12,1.07E-13,6.38E-13,3.89E-13,8.35E-14,1.18E-12
HD 128620,,2445439.4,-2.60E-13,4.41E-13,4.34E-12,3.80E-13,3.89E-13,5.81E-12,3.91E-12,5.92E-13,6.42E-12,-3.14E-13,6.86E-13,1.29E-11
HD 128621,,2445439.5,-3.24E-13,1.61E-13,7.07E-13,-6.86E-13,2.91E-14,3.99E-13,1.07E-12,9.91E-14,1.30E-13,2.32E-12,1.74E-13,3.72E-13
HD 128620,,2445439.5,-1.19E-12,2.30E-13,3.90E-12,-1.71E-13,2.73E-13,5.05E-12,3.24E-12,4.18E-13,4.56E-12,9.46E-13,5.14E-13,8.85E-12
HD 128621,,2445439.5,2.36E-13,6.70E-14,6.10E-13,-1.58E-13,3.93E-14,8.29E-13,1.21E-12,9.19E-14,5.01E-13,5.63E-13,8.36E-14,1.02E-12
