Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 131156,  ,         2449121.3,  5.30E-014,  3.71E-014,  3.13E-013,  -6.86E-014,  9.38E-015,  1.78E-013,  4.12E-013,  2.99E-014,  9.20E-014,  2.46E-013,  2.20E-014,  1.36E-013
HD 131156,  ,         2449122.2,  2.24E-013,  6.77E-014,  1.93E-013,  5.98E-014,  2.45E-014,  2.51E-013,  4.55E-013,  3.02E-014,  4.97E-017,  1.57E-013,  2.08E-014,  1.42E-013
HD 131156,  ,         2449125.2,  9.98E-013,  1.17E-013,  2.14E-013,  4.20E-014,  3.19E-014,  3.90E-013,  4.69E-013,  3.52E-014,  1.74E-014,  1.06E-013,  3.01E-014,  3.27E-013
HD 131156,  ,         2449126.3,  5.69E-013,  7.01E-014,  3.01E-013,  5.72E-014,  1.50E-014,  1.72E-013,  4.50E-013,  3.25E-014,  1.25E-013,  3.57E-013,  2.70E-014,  1.31E-013
HD 131156,  ,         2449127.2,  5.76E-013,  6.96E-014,  3.19E-013,  2.55E-014,  1.21E-014,  1.37E-013,  4.49E-013,  3.20E-014,  1.10E-013,  3.97E-013,  2.83E-014,  1.07E-013
HD 131156,  ,         2449128.3,  5.14E-013,  5.22E-014,  4.74E-014,  4.79E-014,  1.54E-014,  1.61E-013,  4.87E-013,  3.74E-014,  1.54E-013,  1.10E-013,  2.03E-014,  2.17E-013
HD 131156,  ,         2449129.3,  6.37E-013,  7.58E-014,  2.13E-013,  6.53E-014,  1.82E-014,  1.90E-013,  4.48E-013,  3.38E-014,  1.30E-013,  3.94E-013,  2.65E-014,  5.91E-014
HD 131156,  ,         2449130.2,  7.30E-013,  1.00E-013,  1.86E-013,  -3.65E-013,  1.32E-014,  4.04E-013,  4.10E-013,  4.26E-014,  2.01E-013,  2.07E-013,  2.67E-014,  1.60E-013
HD 131156,  ,         2449131.3,  1.30E-013,  4.28E-014,  2.69E-013,  7.55E-014,  2.20E-014,  2.64E-013,  5.32E-013,  3.55E-014,  7.95E-014,  3.44E-013,  2.99E-014,  1.73E-013
HD 131156,  ,         2449132.2,  -1.01E-013,  6.16E-014,  4.58E-013,  -5.43E-014,  1.20E-014,  1.72E-013,  3.60E-013,  2.63E-014,  3.63E-014,  3.24E-013,  2.15E-014,  9.20E-015
HD 131156,  ,         2449133.4,  2.01E-013,  2.85E-014,  1.56E-013,  9.01E-014,  1.15E-014,  9.31E-014,  4.44E-013,  2.93E-014,  8.54E-014,  3.04E-013,  2.48E-014,  1.57E-013
